SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,dTOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,RANGE,runningTotal
20MICRONS,EQ,36.0,36.3,35.0,35.15,35.4,36.0,12632,449218.7,0020-01-29,146,INE144J01027,1.2999999999999972,1.2999999999999972,
21STCENMGM,EQ,14.65,14.8,14.4,14.8,14.8,14.65,2173,31603.65,0020-01-29,17,INE253B01015,0.40000000000000036,0.40000000000000036,
3IINFOTECH,EQ,2.3,2.4,2.25,2.25,2.25,2.3,1527951,3537146.5,0020-01-29,718,INE748C01020,0.1499999999999999,0.1499999999999999,
3MINDIA,EQ,22587.95,22587.95,22055.15,22185.85,22250.0,22264.65,979,2.175766245E7,0020-01-29,692,INE470A01017,532.7999999999993,532.7999999999993,
3PLAND,EQ,6.5,7.1,6.5,7.05,7.05,6.8,812,5623.85,0020-01-29,18,INE105C01023,0.5999999999999996,0.5999999999999996,
5PAISA,EQ,197.0,197.0,176.0,191.4,192.2,192.2,6100,1161451.5,0020-01-29,197,INE618L01018,21.0,21.0,
63MOONS,EQ,107.9,110.0,106.3,107.45,107.55,107.15,96331,1.042379395E7,0020-01-29,2132,INE111B01023,3.700000000000003,3.700000000000003,
762GS2039,GS,92.0,92.0,92.0,92.0,92.0,92.0,1000,92000.0,0020-01-29,1,IN0020190024,0.0,0.0,
A2ZINFRA,EQ,7.1,7.2,7.1,7.1,7.15,7.05,76355,546666.8,0020-01-29,171,INE619I01012,0.10000000000000053,0.10000000000000053,
AAKASH,SM,67.25,67.5,67.0,67.45,67.5,64.6,28000,1882500.0,0020-01-29,5,INE087Z01016,0.5,0.5,
AARON,SM,49.45,49.45,49.45,49.45,49.45,49.75,3300,163185.0,0020-01-29,1,INE721Z01010,0.0,0.0,
AARTIDRUGS,EQ,608.05,641.8,608.0,628.7,629.9,608.25,51859,3.27680547E7,0020-01-29,4105,INE767A01016,33.799999999999955,33.799999999999955,
AARTIIND,EQ,911.0,999.0,908.3,989.15,999.0,902.35,1341272,1.298580225E9,0020-01-29,46608,INE769A01020,90.70000000000005,90.70000000000005,
AARVEEDEN,EQ,14.45,14.45,13.65,13.95,13.95,14.2,1282,17978.35,0020-01-29,46,INE273D01019,0.7999999999999989,0.7999999999999989,
AAVAS,EQ,1964.8,1995.0,1949.15,1978.7,1970.0,1944.6,61858,1.225919713E8,0020-01-29,14410,INE216P01012,45.84999999999991,45.84999999999991,
ABAN,EQ,25.95,26.5,25.55,25.75,25.9,25.8,28916,751521.65,0020-01-29,381,INE421A01028,0.9499999999999993,0.9499999999999993,
ABB,EQ,1331.0,1355.15,1331.0,1342.25,1341.7,1329.75,17111,2.299511115E7,0020-01-29,1338,INE117A01022,24.15000000000009,24.15000000000009,
ABBOTINDIA,EQ,12698.6,12729.0,12620.15,12655.4,12630.0,12653.55,7315,9.261440165E7,0020-01-29,1839,INE358A01014,108.85000000000036,108.85000000000036,
ABCAPITAL,EQ,103.75,104.6,101.25,101.65,101.8,102.75,1390909,1.429208749E8,0020-01-29,16623,INE674K01013,3.3499999999999943,3.3499999999999943,
ABFRL,EQ,229.8,232.0,227.1,228.1,228.5,228.7,172507,3.95850404E7,0020-01-29,4040,INE647O01011,4.900000000000006,4.900000000000006,
ABSLBANETF,EQ,308.0,308.0,308.0,308.0,308.0,305.95,1,308.0,0020-01-29,1,INF209KB1O58,0.0,0.0,
ACC,EQ,1564.25,1574.0,1545.2,1551.7,1546.5,1561.35,405658,6.340577201E8,0020-01-29,14489,INE012A01025,28.799999999999955,28.799999999999955,
ACCELYA,EQ,1067.1,1118.0,1067.1,1086.15,1092.0,1067.1,7331,8009271.4,0020-01-29,936,INE793A01012,50.90000000000009,50.90000000000009,
ACE,EQ,87.05,89.3,86.6,88.2,89.0,86.35,278383,2.45787883E7,0020-01-29,3257,INE731H01025,2.700000000000003,2.700000000000003,
ADANIENT,EQ,231.7,238.35,231.0,232.3,231.75,229.9,3738186,8.772508788E8,0020-01-29,23294,INE423A01024,7.349999999999994,7.349999999999994,
ADANIGAS,EQ,171.9,174.45,168.5,169.9,169.4,170.15,992354,1.70221215E8,0020-01-29,11059,INE399L01023,5.949999999999989,5.949999999999989,
ADANIGREEN,EQ,188.0,191.0,185.05,186.3,186.05,187.65,631830,1.17978065E8,0020-01-29,10351,INE364U01010,5.949999999999989,5.949999999999989,
ADANIPORTS,EQ,377.5,387.75,373.75,383.35,382.5,372.95,3588224,1.377204827E9,0020-01-29,46533,INE742F01042,14.0,14.0,
ADANIPOWER,EQ,64.1,65.1,63.85,64.05,63.9,63.8,5907232,3.806617923E8,0020-01-29,12018,INE814H01011,1.249999999999993,1.249999999999993,
ADANITRANS,EQ,327.8,329.05,321.0,323.9,323.55,324.65,93414,3.03499301E7,0020-01-29,4192,INE931S01010,8.050000000000011,8.050000000000011,
ADFFOODS,EQ,297.6,302.0,295.0,296.9,296.1,294.75,26479,7891347.1,0020-01-29,882,INE982B01019,7.0,7.0,
ADHUNIKIND,EQ,40.0,40.5,38.7,39.7,39.8,40.35,7972,317748.45,0020-01-29,97,INE452L01012,1.7999999999999972,1.7999999999999972,
ADLABS,BE,3.85,4.1,3.85,3.95,3.95,3.95,35895,142308.15,0020-01-29,87,INE172N01012,0.24999999999999956,0.24999999999999956,
ADORWELD,EQ,329.8,334.0,324.0,326.0,324.0,324.0,4217,1390667.85,0020-01-29,306,INE045A01017,10.0,10.0,
ADROITINFO,BE,6.5,6.5,6.0,6.0,6.0,6.2,1599,9913.7,0020-01-29,13,INE737B01033,0.5,0.5,
ADSL,BE,23.05,23.2,23.05,23.2,23.2,22.1,27312,633518.25,0020-01-29,80,INE102I01027,0.14999999999999858,0.14999999999999858,
ADVANIHOTR,EQ,54.95,57.7,53.65,57.25,57.5,54.8,25321,1427428.2,0020-01-29,372,INE199C01026,4.050000000000004,4.050000000000004,
ADVENZYMES,EQ,172.1,175.3,172.1,173.5,173.8,173.45,36418,6342001.15,0020-01-29,725,INE837H01020,3.200000000000017,3.200000000000017,
AEGISCHEM,EQ,208.55,211.2,207.5,209.0,209.0,208.55,109365,2.2888039E7,0020-01-29,3273,INE208C01025,3.6999999999999886,3.6999999999999886,
AFFLE,EQ,1615.95,1735.0,1615.95,1692.1,1695.0,1604.1,724634,1.225577906E9,0020-01-29,38556,INE00WC01019,119.04999999999995,119.04999999999995,
AGARIND,EQ,83.75,87.75,83.75,85.45,85.9,82.35,3948,337739.55,0020-01-29,93,INE204E01012,4.0,4.0,
AGCNET,EQ,221.65,221.65,221.65,221.65,221.65,211.1,11301,2504866.65,0020-01-29,73,INE676A01019,0.0,0.0,
AGRITECH,EQ,45.2,46.5,45.0,46.0,46.0,45.15,7645,350495.15,0020-01-29,171,INE449G01018,1.5,1.5,
AGROPHOS,EQ,26.15,26.15,26.15,26.15,26.15,27.5,1533,40087.95,0020-01-29,63,INE740V01019,0.0,0.0,
AHLEAST,EQ,184.95,184.95,179.5,180.1,179.5,177.5,398,72209.15,0020-01-29,22,INE926K01017,5.449999999999989,5.449999999999989,
AHLUCONT,EQ,307.4,318.0,307.4,315.05,315.0,313.05,12117,3812340.85,0020-01-29,331,INE758C01029,10.600000000000023,10.600000000000023,
AHLWEST,EQ,345.0,364.9,345.0,349.95,350.0,347.05,807,284179.15,0020-01-29,120,INE915K01010,19.899999999999977,19.899999999999977,
AIAENG,EQ,1728.9,1835.95,1728.9,1808.6,1822.0,1728.9,26653,4.78766357E7,0020-01-29,3015,INE212H01026,107.04999999999995,107.04999999999995,
AIONJSW,EQ,14.6,15.1,14.5,14.65,14.5,14.5,121476,1803754.7,0020-01-29,289,INE743C01021,0.5999999999999996,0.5999999999999996,
AIRAN,EQ,14.45,14.45,13.25,14.1,14.2,13.9,7734,106295.8,0020-01-29,72,INE645W01026,1.1999999999999993,1.1999999999999993,
AJANTPHARM,EQ,1172.0,1174.4,1137.65,1149.75,1147.25,1163.0,58322,6.714562265E7,0020-01-29,4163,INE031B01049,36.75,36.75,
AJMERA,EQ,148.9,150.05,146.3,147.9,148.45,147.25,17882,2662231.6,0020-01-29,790,INE298G01027,3.75,3.75,
AKASH,BE,85.9,89.5,83.0,85.6,89.5,85.9,3221,274448.5,0020-01-29,22,INE737W01013,6.5,6.5,
AKSHARCHEM,EQ,249.05,254.5,249.0,250.65,250.0,248.8,7814,1965097.2,0020-01-29,362,INE542B01011,5.5,5.5,
AKSHOPTFBR,EQ,8.35,8.35,7.8,7.85,7.85,8.1,131514,1042665.45,0020-01-29,405,INE523B01011,0.5499999999999998,0.5499999999999998,
AKZOINDIA,EQ,2055.8,2131.1,2002.0,2082.95,2108.7,2045.55,276670,5.666470148E8,0020-01-29,7701,INE133A01011,129.0999999999999,129.0999999999999,
ALANKIT,EQ,14.1,14.5,14.05,14.45,14.5,14.3,80194,1144878.5,0020-01-29,188,INE914E01040,0.4499999999999993,0.4499999999999993,
ALBERTDAVD,EQ,522.0,534.7,513.5,521.95,522.0,524.25,13242,6970487.5,0020-01-29,588,INE155C01010,21.200000000000045,21.200000000000045,
ALBK,EQ,18.5,18.55,18.2,18.45,18.55,18.4,328060,6060095.8,0020-01-29,1889,INE428A01015,0.3500000000000014,0.3500000000000014,
ALCHEM,BE,1.75,1.75,1.65,1.75,1.75,1.7,31372,53652.95,0020-01-29,43,INE964B01033,0.10000000000000009,0.10000000000000009,
ALEMBICLTD,EQ,57.95,64.25,57.9,62.8,63.15,57.6,3122366,1.958430689E8,0020-01-29,20718,INE426A01027,6.350000000000001,6.350000000000001,
ALICON,EQ,409.0,424.8,400.5,406.65,407.0,416.5,5565,2278242.25,0020-01-29,198,INE062D01024,24.30000000000001,24.30000000000001,
ALKALI,EQ,45.3,54.3,45.0,54.1,54.3,45.25,142823,7381256.45,0020-01-29,1460,INE773I01017,9.299999999999997,9.299999999999997,
ALKEM,EQ,2339.05,2349.0,2252.15,2299.9,2300.0,2324.6,80168,1.847523561E8,0020-01-29,5052,INE540L01014,96.84999999999991,96.84999999999991,
ALKYLAMINE,EQ,1323.0,1349.9,1317.0,1338.15,1340.6,1310.75,32637,4.348976455E7,0020-01-29,3120,INE150B01021,32.90000000000009,32.90000000000009,
ALLCARGO,EQ,117.75,119.7,116.1,117.1,117.3,117.15,319433,3.774163135E7,0020-01-29,3593,INE418H01029,3.6000000000000085,3.6000000000000085,
ALLSEC,EQ,284.8,287.4,281.1,286.45,286.5,284.8,3153,895048.0,0020-01-29,330,INE835G01018,6.2999999999999545,6.2999999999999545,
ALMONDZ,EQ,16.5,16.5,15.75,16.5,16.5,15.75,4198,68949.3,0020-01-29,152,INE326B01027,0.75,0.75,
ALOKTEXT,BE,3.15,3.35,3.1,3.25,3.25,3.25,6135467,1.959616615E7,0020-01-29,2959,INE270A01011,0.25,0.25,
ALPA,EQ,20.9,21.55,20.25,20.7,20.6,21.0,47200,990162.3,0020-01-29,245,INE385I01010,1.3000000000000007,1.3000000000000007,
ALPHAGEO,EQ,212.15,213.85,200.0,202.6,201.3,210.5,11011,2268005.55,0020-01-29,873,INE137C01018,13.849999999999994,13.849999999999994,
ALPSINDUS,BE,1.2,1.25,1.2,1.2,1.25,1.25,9640,11619.95,0020-01-29,39,INE093B01015,0.050000000000000044,0.050000000000000044,
AMARAJABAT,EQ,792.95,804.0,792.0,795.75,795.2,790.1,360220,2.874691763E8,0020-01-29,8700,INE885A01032,12.0,12.0,
AMBER,EQ,1478.0,1585.0,1478.0,1535.5,1542.0,1469.15,291963,4.477098446E8,0020-01-29,22878,INE371P01015,107.0,107.0,
AMBIKCO,EQ,841.15,847.45,831.0,838.5,839.1,836.95,9734,8160723.5,0020-01-29,610,INE540G01014,16.450000000000045,16.450000000000045,
AMBUJACEM,EQ,216.75,218.25,213.25,214.05,214.4,216.15,3410299,7.379338896E8,0020-01-29,18535,INE079A01024,5.0,5.0,
AMDIND,EQ,17.5,18.55,15.75,17.75,17.7,17.1,43034,768029.85,0020-01-29,312,INE005I01014,2.8000000000000007,2.8000000000000007,
